date,channel,campaign,impressions,clicks,spend
2025-12-04,Google Shopping,Shopping - New Launches,400,13,5.54
2025-12-12,Google Search,Brand - Search,432,17,9.08
2025-04-03,Meta Ads,Prospecting - Video,670,22,14.31
2025-05-28,Affiliate,Affiliate - Beauty Bloggers,58,2,0.45
2026-04-04,Google Shopping,Shopping - New Launches,486,18,7.48
2026-04-20,Affiliate,Affiliate - Beauty Bloggers,89,3,0.64
2025-03-20,Affiliate,Affiliate - Beauty Bloggers,187,8,1.71
2025-10-15,Google_Shopping,Shopping - Bestsellers,456,15,6.75
2025-12-29,Affiliate,Affiliate - Beauty Bloggers,0,0,0.0
2025-10-10,Google Search,Brand - Search,412,16,8.72
2026-02-15,Affiliate ,Affiliate - Cashback Sites,23,1,£0.23
2026-06-02,Google Shopping,Shopping - New Launches,415,15,6.0
2026-06-23,Google Shopping,Shopping - New Launches,322,12,5.33
2025-04-29,AFFILIATE,Affiliate - Beauty Bloggers,81,3,0.68
2025-06-04,google shopping,Shopping - Bestsellers,132,7,3.12
2026-06-08,Google Search,Non-Brand - Generic,411,16,8.84
2025-11-02,AFFILIATE,Affiliate - Cashback Sites,217,10,2.13
2025-12-18,Google Shopping,Shopping - New Launches,462,17,£6.71
2026-02-02,Google Shopping,Shopping - Bestsellers,409,13,4.94
2025-05-15,Affiliate,Affiliate - Beauty Bloggers,29,1,0.24
2025-10-13,GOOGLE SHOPPING,Shopping - New Launches,76,3,1.29
2025-02-27,Facebook/Instagram Ads,Prospecting - Video,341,15,£8.38
2026-06-06,Google Shopping,Shopping - Bestsellers,216,9,4.12
2026-03-15,Google Search,Brand - Search,353,16,9.5
2025-08-18,Affiliate,Affiliate - Beauty Bloggers,172,7,1.61
2026-05-07,Google Search,Non-Brand - Competitor,619,32,
2025-09-22,Affiliate,Affiliate - Cashback Sites,54,2,0.45
2025-04-07,Google Shopping,Shopping - New Launches,158,5,2.0
2025-12-22,Meta Ads,Prospecting - Video,1575,52,40.23
2026-04-01,AFFILIATE,Affiliate - Beauty Bloggers,76,3,0.69
2025-09-01,Affiliate,Affiliate - Cashback Sites,0,0,0.0
2026-03-25,Google_Shopping,Shopping - New Launches,343,12,4.73
2026-02-05,Meta Ads,Prospecting - Static,952,38,34.22
2025-10-16,Google Shopping,Shopping - Bestsellers,443,16,6.99
2025-10-23,Google Search,Brand - Search,477,19,£10.40
2025-01-19,Google Shopping,Shopping - New Launches,39,2,0.89
2025-09-17,AFFILIATE,Affiliate - Cashback Sites,147,7,1.51
2026-01-25,Meta Ads,Retargeting - Carousel,157,7,6.12
2025-01-09,Affiliate ,Affiliate - Cashback Sites,0,0,0.0
2026-02-25,google shopping,Shopping - New Launches,161,6,2.57
2025-01-31,google shopping,Shopping - New Launches,91,4,1.63
2025-11-07,Google_Search,Brand - Search,738,27,13.41
2025-08-16,Google Shopping,Shopping - Bestsellers,313,12,4.75
2025-06-02,Affiliate,Affiliate - Cashback Sites,28,1,£0.21
2026-01-06,Google Shopping,Shopping - Bestsellers,358,12,£4.91
2025-08-17,Affiliate,Affiliate - Beauty Bloggers,0,0,0.0
2025-01-02,Google Search,Brand - Search,555,19,10.01
2025-08-30,Google Search,Non-Brand - Generic,587,21,11.64
2025-11-29,Meta Ads,Retargeting - Carousel,838,40,29.23
2025-12-20,Meta Ads,Retargeting - Carousel,878,46,35.89
2026-04-19,Google Search,Non-Brand - Generic,222,12,6.53
2025-02-11,Google_Shopping,Shopping - Bestsellers,327,15,£6.27
2026-01-09,Meta Ads,Prospecting - Video,398,19,£14.14
2025-03-01,Google  Search,Non-Brand - Generic,394,17,9.28
2025-11-16,Affiliate,Affiliate - Beauty Bloggers,251,9,2.07
2025-07-13,Google Search,Brand - Search,361,15,8.51
2025-04-10,Affiliate,Affiliate - Cashback Sites,81,4,0.91
2025-05-25,Google Shopping,Shopping - New Launches,356,16,£6.34
2025-12-22,Google Search,Non-Brand - Generic,343,14,£7.92
2026-01-18,Google Search,Brand - Search,258,14,7.43
2026-06-17,Google Shopping,Shopping - Bestsellers,506,17,7.23
2026-06-30,meta ads,Prospecting - Video,1752,59,55.23
2025-08-29,Meta Ads,Retargeting - Carousel,851,28,£19.76
2025-12-10,Google Shopping,Shopping - New Launches,551,22,8.98
2026-01-26,Google Shopping,Shopping - Bestsellers,44,2,0.87
2025-08-05,Google Search,Brand - Search,548,18,10.08
2025-01-02,Affiliate ,Affiliate - Cashback Sites,180,6,1.25
2025-04-28,Meta Ads,Prospecting - Static,506,23,14.96
2026-04-28,Affiliate,Affiliate - Cashback Sites,102,4,0.89
2025-11-30,Meta Ads,Prospecting - Video,1467,60,46.77
2026-05-26,Google Shopping,Shopping - New Launches,599,22,9.24
2025-05-02,Affiliate,Affiliate - Cashback Sites,123,4,0.91
2025-05-07,Google Search,Non-Brand - Competitor,391,17,£9.88
2025-05-06,Affiliate,Affiliate - Cashback Sites,57,3,0.63
2025-02-28,meta ads,Retargeting - Carousel,566,19,10.19
2025-11-27,google search,Non-Brand - Generic,820,29,15.92
2025-12-09,AFFILIATE,Affiliate - Beauty Bloggers,114,4,0.93
2025-01-28,Google Search,Non-Brand - Competitor,308,14,7.71
2025-06-20,Google Shopping,Shopping - New Launches,114,5,2.15
2025-05-03,Google Search,Non-Brand - Generic,408,15,8.12
2025-04-16,Google Shopping,Shopping - Bestsellers,209,8,3.49
2025-12-11,Google Shopping,Shopping - New Launches,436,19,7.81
2025-07-25,Affiliate,Affiliate - Cashback Sites,82,4,0.81
2026-06-16,Google Search,Non-Brand - Generic,288,15,7.82
2025-01-13,Meta Ads,Prospecting - Video,248,9,5.22
2026-02-17,Google Search,Non-Brand - Competitor,303,10,5.02
2025-05-20,Google Shopping,Shopping - New Launches,61,3,1.25
2025-01-30,Meta Ads,Prospecting - Video,259,9,4.9
2025-06-08,GOOGLE SHOPPING,Shopping - New Launches,275,9,3.85
2025-10-19,Affiliate,Affiliate - Cashback Sites,46,2,0.45
2025-11-23,Google Search,Brand - Search,992,46,25.17
2025-07-14,Google Shopping,Shopping - New Launches,120,4,1.58
2025-10-09,affiliate,Affiliate - Beauty Bloggers,37,2,0.45
2025-05-16,google search,Non-Brand - Competitor,382,12,6.83
2025-10-08,Google_Shopping,Shopping - New Launches,369,17,£6.19
2025-06-21,Affiliate,Affiliate - Cashback Sites,25,1,0.23
2025-04-20,Google Search,Brand - Search,338,15,8.19
2025-08-06,Affiliate,Affiliate - Cashback Sites,166,6,1.27
2025-12-07,Meta Ads,Prospecting - Video,699,34,£26.96
2025-04-25,Meta_Ads,Prospecting - Video,580,20,12.13
2025-01-18,Meta Ads,Retargeting - Carousel,805,26,14.6
2025-12-03,Meta Ads,Prospecting - Static,1047,45,31.81
2026-06-06,Google Search,Non-Brand - Competitor,586,20,10.48
2025-01-12,Meta Ads,Retargeting - Carousel,352,15,8.45
2025-03-05,Google Shopping,Shopping - New Launches,115,6,2.51
2025-03-05,Meta Ads,Prospecting - Video,676,28,14.72
2025-07-02,Affiliate,Affiliate - Beauty Bloggers,58,2,0.45
2026-02-13,Meta Ads,Prospecting - Video,631,22,19.72
2025-02-23,Google Search,Non-Brand - Generic,183,7,4.07
2026-04-26,Google Search,Non-Brand - Generic,342,11,5.76
2025-11-15,Affiliate,Affiliate - Cashback Sites,0,0,0.0
2025-05-16,Affiliate,Affiliate - Cashback Sites,166,8,£1.71
2025-01-22,Affiliate,Affiliate - Cashback Sites,105,5,1.1
2026-03-03,Google Search,Non-Brand - Competitor,176,8,
2025-07-08,Google Search,Non-Brand - Competitor,236,11,6.32
2026-05-03,Google_Search,Non-Brand - Generic,298,16,9.91
2025-08-25,Google_Search,Non-Brand - Competitor,299,14,£7.35
2025-10-04,Affiliate,Affiliate - Beauty Bloggers,139,5,£1.11
2026-05-12,Google Shopping,Shopping - Bestsellers,349,19,8.47
2025-11-30,Affiliate,Affiliate - Beauty Bloggers,196,7,1.5
2025-04-26,Google Shopping,Shopping - Bestsellers,96,5,2.36
2026-02-07,Facebook/Instagram Ads,Retargeting - Carousel,640,21,17.99
2025-04-09,google search,Brand - Search,781,25,14.04
2025-02-22,Google Shopping,Shopping - New Launches,248,10,4.39
2025-07-17,Google Shopping,Shopping - Bestsellers,26,1,0.39
2025-05-13,Affiliate,Affiliate - Cashback Sites,174,8,1.68
2026-06-23,Google Search,Brand - Search,295,16,9.6
2025-07-09,Affiliate,Affiliate - Cashback Sites,250,10,2.25
2026-05-18,Affiliate ,Affiliate - Cashback Sites,74,3,0.64
2025-11-04,Google Search,Brand - Search,236,12,6.56
2026-03-28,Google_Search,Brand - Search,286,10,5.14
2025-09-12,Google Search,Brand - Search,383,16,8.58
2026-04-24,Affiliate,Affiliate - Cashback Sites,36,2,0.5
2026-04-07,Meta Ads,Prospecting - Video,770,33,28.54
2026-05-08,Google Shopping,Shopping - New Launches,358,16,6.43
2025-07-28,Google  Search,Non-Brand - Generic,154,7,4.08
2025-07-03,Meta Ads,Prospecting - Video,411,14,£9.94
2025-11-26,Google Shopping,Shopping - Bestsellers,914,33,14.28
2026-01-13,Google Search,Brand - Search,148,8,4.09
2025-04-20,Meta Ads,Prospecting - Static,602,25,16.1
2025-10-09,Google Search,Non-Brand - Generic,216,11,5.41
2025-10-17,Google Shopping,Shopping - New Launches,546,18,7.64
2026-01-08,Google Search,Non-Brand - Competitor,283,11,5.57
2026-01-11,Meta Ads,Prospecting - Video,394,20,15.04
2026-02-01,Meta Ads,Prospecting - Video,721,35,30.89
2026-01-21,Google Shopping,Shopping - Bestsellers,130,7,3.08
2025-03-08,Google Shopping,Shopping - New Launches,82,4,1.78
2025-03-30,google shopping,Shopping - Bestsellers,22,1,0.41
2025-08-03,affiliate,Affiliate - Cashback Sites,256,10,2.33
2025-11-25,google search,Brand - Search,760,26,15.43
2026-04-27,Google Shopping,Shopping - New Launches,188,9,3.41
2026-03-08,Google Search,Non-Brand - Generic,568,21,£12.31
2026-04-24,Google Shopping,Shopping - New Launches,94,3,1.26
2026-06-14,FB/IG Ads,Retargeting - Carousel,742,30,28.98
2026-03-06,Meta Ads,Prospecting - Static,969,42,39.58
2025-05-13,Google Shopping,Shopping - Bestsellers,592,20,8.25
2025-07-29,GOOGLE SEARCH,Non-Brand - Generic,213,11,5.91
2025-06-24,Meta Ads,Retargeting - Carousel,846,27,17.15
2025-07-06,Affiliate,Affiliate - Beauty Bloggers,25,1,£0.19
2025-05-17,Meta Ads,Prospecting - Video,318,17,11.73
2025-02-07,Affiliate,Affiliate - Beauty Bloggers,119,5,1.05
2026-03-04,Affiliate ,Affiliate - Beauty Bloggers,63,2,0.48
2025-07-27,Google  Search,Brand - Search,524,21,10.8
2025-12-04,Google_Search,Non-Brand - Competitor,339,14,7.81
2025-07-17,affiliate,Affiliate - Cashback Sites,90,4,0.91
2025-02-23,Google Shopping,Shopping - Bestsellers,213,8,3.36
2025-07-03,Affiliate,Affiliate - Cashback Sites,0,0,0.0
2025-09-14,affiliate,Affiliate - Beauty Bloggers,91,3,£0.67
2026-04-05,AFFILIATE,Affiliate - Beauty Bloggers,124,4,0.89
2026-04-20,Google Search,Non-Brand - Competitor,211,10,5.66
2025-03-22,Meta Ads,Prospecting - Static,670,24,14.42
2025-12-13,GOOGLE SHOPPING,Shopping - New Launches,340,12,5.05
2025-11-23,Affiliate ,Affiliate - Beauty Bloggers,326,12,£2.51
2026-06-21,Affiliate,Affiliate - Cashback Sites,26,1,0.23
2025-04-12,Google Search,Non-Brand - Generic,173,7,£3.81
2026-02-19,Affiliate,Affiliate - Cashback Sites,175,7,1.5
2026-05-27,Affiliate,Affiliate - Beauty Bloggers,243,8,1.83
2025-06-05,Google Search,Brand - Search,597,19,
2026-02-04,Affiliate,Affiliate - Beauty Bloggers,221,9,1.84
2026-05-08,Meta Ads,Retargeting - Carousel,914,30,29.14
2026-05-15,Google Shopping,Shopping - Bestsellers,538,27,11.89
2026-05-15,Meta Ads,Prospecting - Video,723,37,33.45
2025-01-31,AFFILIATE,Affiliate - Cashback Sites,89,3,0.67
2026-03-09,Google Shopping,Shopping - New Launches,410,14,6.04
2026-06-01,AFFILIATE,Affiliate - Beauty Bloggers,265,11,2.41
2025-03-17,Affiliate,Affiliate - Beauty Bloggers,95,4,0.98
2025-09-26,Affiliate,Affiliate - Beauty Bloggers,119,5,£1.15
2025-07-21,Meta Ads,Prospecting - Video,565,24,16.87
2025-03-25,Affiliate,Affiliate - Beauty Bloggers,236,8,1.88
2026-01-18,Google Shopping,Shopping - Bestsellers,255,12,4.97
2026-03-02,Google Shopping,Shopping - Bestsellers,374,18,7.02
2025-12-17,Google_Shopping,Shopping - New Launches,478,19,8.71
2026-05-15,Google Search,Non-Brand - Competitor,428,19,10.42
2026-05-26,Google Search,Non-Brand - Competitor,325,11,5.85
2025-11-18,meta ads,Retargeting - Carousel,482,26,20.36
2026-01-22,Google Search,Brand - Search,90,5,2.7
2025-10-16,Affiliate,Affiliate - Cashback Sites,42,2,£0.43
2025-06-19,GOOGLE SEARCH,Brand - Search,450,16,9.17
2026-04-26,Meta Ads,Prospecting - Static,832,38,£35.12
2025-12-29,Meta Ads,Prospecting - Video,395,13,9.97
2025-01-20,Meta Ads,Prospecting - Video,447,14,£7.19
2025-12-24,Affiliate,Affiliate - Cashback Sites,108,4,0.88
2025-12-01,Meta Ads,Retargeting - Carousel,728,31,£23.87
2025-11-30,GOOGLE SHOPPING,Shopping - New Launches,468,20,8.55
2026-04-19,Meta Ads,Prospecting - Static,507,21,19.52
2025-09-26,Meta Ads,Prospecting - Static,412,21,14.97
2025-08-29,Affiliate,Affiliate - Cashback Sites,97,5,£1.12
2025-02-28,Google Search,Brand - Search,502,19,11.54
2025-06-04,Meta Ads,Prospecting - Static,637,25,15.74
2025-02-17,Google Shopping,Shopping - Bestsellers,323,12,4.81
2025-11-05,Affiliate,Affiliate - Beauty Bloggers,175,9,1.99
2025-05-24,Meta Ads,Retargeting - Carousel,865,29,17.57
2026-05-01,Google Shopping,Shopping - Bestsellers,202,7,2.54
2026-02-11,Google Shopping,Shopping - New Launches,189,8,3.27
2026-01-03,Google_Shopping,Shopping - New Launches,89,4,1.75
2026-02-19,Meta_Ads,Retargeting - Carousel,876,29,24.42
2025-03-25,Meta Ads,Retargeting - Carousel,324,17,11.18
2025-09-29,Affiliate,Affiliate - Cashback Sites,25,1,0.22
2025-08-07,Meta_Ads,Retargeting - Carousel,695,33,23.17
2026-02-08,Google Shopping,Shopping - New Launches,379,14,5.61
2025-03-10,Affiliate,Affiliate - Beauty Bloggers,158,7,1.62
2025-07-02,Google Search,Non-Brand - Generic,286,11,6.15
2026-03-03,Google Shopping,Shopping - Bestsellers,83,4,1.52
2025-05-18,GOOGLE SEARCH,Non-Brand - Competitor,423,19,10.04
2025-02-16,Google Search,Non-Brand - Competitor,485,20,11.18
2026-05-22,Affiliate,Affiliate - Cashback Sites,115,4,0.76
2025-05-04,Affiliate,Affiliate - Beauty Bloggers,0,0,0.0
2025-09-13,Meta Ads,Retargeting - Carousel,415,23,17.01
2025-06-04,Google Search,Non-Brand - Generic,274,9,5.24
2025-04-30,FB/IG Ads,Prospecting - Video,559,29,18.04
2025-09-25,Google Shopping,Shopping - Bestsellers,312,10,4.66
2025-09-08,Google Shopping,Shopping - New Launches,74,3,£1.28
2026-06-09,Affiliate ,Affiliate - Cashback Sites,36,2,£0.47
2025-06-23,Affiliate,Affiliate - Cashback Sites,121,5,1.0
2026-06-23,Meta Ads,Retargeting - Carousel,855,38,36.83
2025-09-16,Meta Ads,Prospecting - Static,672,27,19.02
2026-04-06,Meta Ads,Prospecting - Video,1075,34,31.26
2026-05-23,Google_Shopping,Shopping - Bestsellers,125,6,2.43
2025-12-05,GOOGLE SHOPPING,Shopping - Bestsellers,186,10,4.5
2026-01-19,Affiliate,Affiliate - Beauty Bloggers,72,3,0.75
2025-03-07,google shopping,Shopping - New Launches,157,5,2.09
2026-04-16,Google Search,Brand - Search,462,18,9.72
2026-06-30,Google Shopping,Shopping - Bestsellers,341,16,6.3
2025-07-26,Google Shopping,Shopping - New Launches,201,7,3.11
2025-10-14,Affiliate,Affiliate - Cashback Sites,73,3,0.63
2025-02-28,affiliate,Affiliate - Cashback Sites,247,9,1.89
2026-05-17,Google_Shopping,Shopping - Bestsellers,49,2,0.93
2026-03-18,Meta Ads,Prospecting - Video,633,22,£19.87
2025-03-12,Meta Ads,Prospecting - Video,472,20,£11.55
2026-05-28,Google Search,Non-Brand - Generic,728,29,14.77
2025-12-11,Google Search,Non-Brand - Generic,1019,34,18.25
2025-12-02,Affiliate ,Affiliate - Beauty Bloggers,79,3,0.61
2025-12-21,Meta Ads,Retargeting - Carousel,668,32,26.58
2025-07-15,Google Search,Non-Brand - Competitor,421,14,7.7
2025-09-08,Google Search,Non-Brand - Competitor,481,24,13.08
2026-06-30,Affiliate,Affiliate - Beauty Bloggers,265,9,£2.04
2025-02-19,Google Shopping,Shopping - New Launches,97,5,2.11
2025-07-29,Google Shopping,Shopping - New Launches,389,13,£5.47
2025-05-14,Meta_Ads,Prospecting - Static,354,15,10.07
2026-02-08,Google  Search,Non-Brand - Generic,543,20,11.46
2026-05-06,GOOGLE SEARCH,Non-Brand - Generic,191,9,5.42
2026-06-11,GOOGLE SEARCH,Brand - Search,566,19,10.86
2026-04-09,Affiliate,Affiliate - Beauty Bloggers,140,6,1.18
2025-02-02,Meta_Ads,Prospecting - Static,283,13,7.67
2026-02-25,Meta Ads,Prospecting - Static,602,27,21.42
2026-06-07,Google Search,Non-Brand - Generic,445,18,£10.03
2025-10-21,Google Shopping,Shopping - New Launches,123,6,2.52
2025-08-13,Google_Search,Brand - Search,306,16,9.37
2025-05-26,Google Shopping,Shopping - New Launches,325,13,£5.09
2025-03-06,Meta Ads,Prospecting - Video,324,11,6.1
2025-06-14,Affiliate,Affiliate - Beauty Bloggers,63,2,0.45
2025-07-08,Affiliate,Affiliate - Beauty Bloggers,88,3,£0.66
2026-01-28,Google Search,Non-Brand - Generic,246,8,4.39
2026-05-05,Affiliate,Affiliate - Beauty Bloggers,237,9,1.98
2025-02-07,Google_Search,Non-Brand - Competitor,201,11,£6.04
2025-08-11,Google Search,Brand - Search,269,14,7.16
2025-12-15,Meta Ads,Retargeting - Carousel,1066,52,42.42
2026-01-19,FB/IG Ads,Prospecting - Static,544,22,17.08
2025-10-23,Google Shopping,Shopping - Bestsellers,71,3,1.21
2025-07-27,Affiliate,Affiliate - Cashback Sites,0,0,0.0
2025-01-11,Google Search,Non-Brand - Generic,106,4,2.28
2025-04-01,Google_Shopping,Shopping - New Launches,153,7,3.1
2026-06-27,Google Search,Non-Brand - Competitor,327,12,6.15
2025-08-24,Affiliate,Affiliate - Cashback Sites,351,11,£2.32
2026-02-18,Google Search,Non-Brand - Generic,353,19,10.01
2025-08-15,Meta Ads,Retargeting - Carousel,487,18,£13.23
2025-08-03,affiliate,Affiliate - Cashback Sites,256,10,2.33
2026-02-16,Affiliate,Affiliate - Beauty Bloggers,103,4,0.85
2025-09-28,affiliate,Affiliate - Beauty Bloggers,63,2,£0.44
2025-09-06,Meta Ads,Prospecting - Video,294,16,£10.68
2025-10-06,Google Shopping,Shopping - New Launches,203,10,4.18
2026-01-27,Affiliate,Affiliate - Beauty Bloggers,31,1,£0.23
2025-09-21,Google  Search,Brand - Search,478,17,8.48
2025-04-23,Google Shopping,Shopping - Bestsellers,287,9,3.78
2026-04-07,Google Search,Brand - Search,45,2,1.12
2025-03-11,Affiliate,Affiliate - Cashback Sites,178,6,1.35
2025-03-26,Google_Shopping,Shopping - New Launches,135,5,2.16
2026-05-25,Google Shopping,Shopping - New Launches,487,20,8.33
2025-01-09,Facebook/Instagram Ads,Retargeting - Carousel,104,5,2.75
2026-05-13,Google Shopping,Shopping - New Launches,538,20,£8.59
2026-02-06,Affiliate,Affiliate - Beauty Bloggers,114,5,1.1
2026-03-02,Meta Ads,Prospecting - Video,741,38,32.84
2025-01-22,Google_Search,Non-Brand - Generic,261,11,£5.53
2026-01-04,Affiliate,Affiliate - Beauty Bloggers,129,6,1.25
2025-09-08,Meta Ads,Prospecting - Static,461,23,16.3
2025-11-28,Google Search,Brand - Search,1009,32,18.23
2025-07-02,Google Shopping,Shopping - New Launches,176,7,3.23
2025-11-10,Google Search,Brand - Search,365,18,9.64
2025-04-07,Meta Ads,Prospecting - Static,509,18,10.34
2025-09-17,Google Search,Non-Brand - Competitor,65,3,£1.68
2025-04-30,Affiliate,Affiliate - Cashback Sites,21,1,0.21
2025-11-13,Meta Ads,Retargeting - Carousel,920,30,22.1
2025-08-23,Meta Ads,Prospecting - Static,922,35,25.07
2025-09-05,Google Search,Brand - Search,237,13,7.53
2025-09-03,Google Search,Non-Brand - Competitor,340,15,7.79
2025-10-28,Google_Search,Brand - Search,163,6,3.33
2025-06-18,Affiliate,Affiliate - Beauty Bloggers,133,6,£1.39
2026-01-30,Google Search,Non-Brand - Generic,168,7,3.92
2026-06-13,Google Search,Non-Brand - Competitor,531,23,12.74
2025-08-14,meta ads,Prospecting - Static,788,27,21.01
2025-12-05,Google Search,Brand - Search,701,22,12.84
2026-05-24,FB/IG Ads,Retargeting - Carousel,1138,48,45.66
2025-03-08,Affiliate,Affiliate - Beauty Bloggers,0,0,£0.00
2026-04-17,google shopping,Shopping - Bestsellers,269,11,4.81
2025-05-03,Google Shopping,Shopping - Bestsellers,490,17,£7.02
2026-05-21,Google  Search,Non-Brand - Generic,272,13,7.39
2025-08-21,Google Search,Non-Brand - Competitor,603,20,10.27
2026-06-13,Meta Ads,Retargeting - Carousel,994,41,41.46
2025-02-16,affiliate,Affiliate - Cashback Sites,107,5,£1.09
2025-04-17,Meta Ads,Prospecting - Video,529,18,11.46
2025-12-24,Google Search,Non-Brand - Generic,539,28,16.3
2025-02-06,GOOGLE SHOPPING,Shopping - New Launches,262,10,4.15
2026-04-02,Facebook/Instagram Ads,Prospecting - Static,838,31,28.21
2025-06-16,meta ads,Retargeting - Carousel,386,20,13.98
2025-08-04,Meta Ads,Prospecting - Video,657,21,£14.55
2026-02-03,Affiliate,Affiliate - Cashback Sites,251,9,2.06
2025-11-16,Google Shopping,Shopping - Bestsellers,443,18,6.93
2025-04-25,google search,Brand - Search,117,5,2.66
2025-02-20,Affiliate,Affiliate - Cashback Sites,36,2,0.46
2026-06-18,Google Shopping,Shopping - Bestsellers,149,5,2.12
2026-06-26,Google Shopping,Shopping - New Launches,286,9,3.77
2025-01-06,Affiliate,Affiliate - Cashback Sites,243,10,£2.28
2025-02-21,Affiliate,Affiliate - Beauty Bloggers,71,3,0.71
2025-12-28,affiliate,Affiliate - Cashback Sites,24,1,0.21
2026-06-12,google search,Non-Brand - Competitor,309,12,6.16
2026-06-26,Google Search,Non-Brand - Competitor,417,17,8.49
2026-02-20,Google Search,Non-Brand - Competitor,433,15,7.9
2025-01-01,Meta Ads,Prospecting - Static,251,8,4.4
2025-10-17,Meta Ads,Prospecting - Video,764,30,£23.18
2026-06-28,Google Shopping,Shopping - Bestsellers,499,17,6.78
2026-02-05,Affiliate,Affiliate - Cashback Sites,207,7,1.57
2025-11-06,Google Shopping,Shopping - New Launches,298,11,4.57
2025-12-23,meta ads,Prospecting - Static,1200,45,35.24
2025-03-28,Google Search,Non-Brand - Generic,75,3,1.66
2026-03-17,Affiliate,Affiliate - Beauty Bloggers,78,4,£0.87
2026-01-16,Affiliate,Affiliate - Cashback Sites,27,1,0.21
2025-02-07,Meta Ads,Retargeting - Carousel,547,25,1509.00
2025-11-11,Google  Search,Brand - Search,274,15,8.55
2025-12-24,Facebook/Instagram Ads,Retargeting - Carousel,719,23,£18.23
2025-10-11,Google Search,Non-Brand - Competitor,485,17,8.74
2025-12-29,Google Shopping,Shopping - New Launches,330,16,7.3
2025-06-15,affiliate,Affiliate - Cashback Sites,223,7,1.59
2025-09-30,Meta Ads,Prospecting - Video,713,35,26.44
2025-02-19,Affiliate,Affiliate - Cashback Sites,300,10,2.22
2025-11-14,Google Search,Non-Brand - Generic,415,16,8.11
2025-10-01,Affiliate,Affiliate - Beauty Bloggers,91,5,1.06
2026-05-07,Google Shopping,Shopping - Bestsellers,229,8,3.21
2025-08-14,Google Shopping,Shopping - New Launches,280,10,4.41
2026-01-12,Google Search,Brand - Search,158,8,4.65
2026-06-12,Affiliate,Affiliate - Beauty Bloggers,0,0,0.0
2026-02-04,Google Search,Brand - Search,428,14,6.99
2025-11-22,Google Search,Brand - Search,518,17,8.98
2025-12-03,Google Shopping,Shopping - Bestsellers,218,9,3.77
2025-07-06,Facebook/Instagram Ads,Prospecting - Static,448,17,11.75
2025-07-03,google search,Non-Brand - Competitor,282,10,5.54
2025-11-01,google shopping,Shopping - Bestsellers,404,13,5.1
2026-06-19,Google Shopping,Shopping - Bestsellers,347,11,£4.59
2025-01-07,affiliate,Affiliate - Beauty Bloggers,141,6,1.36
2025-10-08,affiliate,Affiliate - Beauty Bloggers,90,3,0.64
2025-04-08,GOOGLE SEARCH,Brand - Search,297,14,8.26
2025-01-09,Google_Search,Brand - Search,143,5,3.02
2025-11-14,Affiliate,Affiliate - Cashback Sites,50,2,£0.42
2026-01-30,Meta Ads,Prospecting - Video,689,25,20.96
2025-10-12,Meta Ads,Prospecting - Video,334,18,14.18
2025-03-23,Affiliate,Affiliate - Cashback Sites,208,8,1.8
2025-08-12,Facebook/Instagram Ads,Prospecting - Static,639,22,15.83
2026-04-21,google shopping,Shopping - New Launches,785,25,10.39
2025-08-28,GOOGLE SHOPPING,Shopping - Bestsellers,150,7,2.6
2025-08-26,Google Shopping,Shopping - Bestsellers,301,14,6.12
2026-05-29,FB/IG Ads,Retargeting - Carousel,537,24,20.03
2025-05-28,Google Shopping,Shopping - Bestsellers,103,5,2.16
2025-05-10,Affiliate,Affiliate - Beauty Bloggers,74,4,£0.87
2025-04-22,meta ads,Retargeting - Carousel,666,28,17.57
2026-05-21,GOOGLE SHOPPING,Shopping - Bestsellers,314,12,4.73
2026-04-10,Affiliate,Affiliate - Beauty Bloggers,145,6,1.28
2025-09-10,Affiliate,Affiliate - Beauty Bloggers,123,4,0.9
2025-07-11,Meta Ads,Prospecting - Static,278,13,9.11
2025-12-16,Meta Ads,Prospecting - Static,747,28,21.98
2025-06-06,Google Search,Non-Brand - Competitor,214,8,4.52
2026-05-10,Google Search,Brand - Search,317,15,7.93
2026-02-21,Google Shopping,Shopping - Bestsellers,90,4,1.62
2025-05-05,Meta Ads,Prospecting - Static,631,20,£13.27
2025-09-06,affiliate,Affiliate - Beauty Bloggers,30,1,0.23
2026-04-01,Facebook/Instagram Ads,Prospecting - Video,1337,51,45.28
2026-04-02,Affiliate,Affiliate - Beauty Bloggers,74,3,0.68
2025-05-22,Google Shopping,Shopping - New Launches,158,6,2.62
2025-01-27,Affiliate ,Affiliate - Cashback Sites,62,2,0.45
2025-06-07,Affiliate,Affiliate - Beauty Bloggers,46,2,0.47
2025-06-17,Google Shopping,Shopping - New Launches,144,5,2.16
2025-09-05,Google Shopping,Shopping - Bestsellers,173,9,3.82
2026-02-23,GOOGLE SHOPPING,Shopping - New Launches,346,11,4.58
2025-12-06,Google Search,Brand - Search,678,26,14.26
2026-03-21,Google Shopping,Shopping - New Launches,158,6,2.39
2025-06-25,Affiliate,Affiliate - Beauty Bloggers,98,4,0.95
2026-06-01,Google Shopping,Shopping - New Launches,410,14,5.9
2025-10-04,Google Shopping,Shopping - Bestsellers,226,8,3.4
2026-01-16,Meta Ads,Retargeting - Carousel,239,13,10.55
2026-04-11,Google Shopping,Shopping - Bestsellers,329,11,5.15
2025-01-06,GOOGLE SHOPPING,Shopping - New Launches,121,5,2.15
2026-05-31,Meta Ads,Prospecting - Video,686,33,29.27
2026-06-20,Facebook/Instagram Ads,Prospecting - Static,866,41,43.5
